iteration,residual,time
0,19.236575199805312,0
1,0.16772374276256374,0.6279983520507812
2,0.028727119470124116,1.209998369216919
3,0.00723475200236645,1.795008659362793
4,0.0019258543922063937,2.385667085647583
5,0.0005171819917021726,2.969653844833374
6,0.00013909646219319066,3.5496532917022705
7,3.742008187097347e-05,4.128656387329102
8,1.0067333765765889e-05,4.7836573123931885
9,2.7084953614799682e-06,5.370656967163086
10,7.286894104414778e-07,5.968667030334473
11,1.9604553011657632e-07,6.5496532917022705
12,5.27438119345833e-08,7.151655197143555
13,1.4190114832822868e-08,7.737654209136963
14,3.8176934813690535e-09,8.31765866279602
15,1.0271022661265848e-09,8.951705932617188
16,2.7633465750860555e-10,9.519752979278564
17,7.433775479296591e-11,10.108858823776245
18,2.000446094193805e-11,10.740334749221802
19,5.379328278205608e-12,11.365350723266602
